# packet	field	type
# source_protocol_dir	1.18.30
# source_protocol_json	data/minecraft-data/bedrock/1.18.30/protocol.json
add_behavior_tree	behaviortree	"string"
add_ecs_entity	network_id	"varint64"
add_entity	entity_id_self	"zigzag64"
add_entity	runtime_entity_id	"varint64"
add_entity	entity_type	"string"
add_entity	position	"vec3f"
add_entity	velocity	"vec3f"
add_entity	pitch	"lf32"
add_entity	yaw	"lf32"
add_entity	head_yaw	"lf32"
add_entity	attributes	"EntityAttributes"
add_entity	metadata	"MetadataDictionary"
add_entity	links	"Links"
add_item_entity	entity_id_self	"zigzag64"
add_item_entity	runtime_entity_id	"varint64"
add_item_entity	item	"Item"
add_item_entity	position	"vec3f"
add_item_entity	velocity	"vec3f"
add_item_entity	metadata	"MetadataDictionary"
add_item_entity	is_from_fishing	"bool"
add_painting	entity_id_self	"zigzag64"
add_painting	runtime_entity_id	"varint64"
add_painting	coordinates	"vec3f"
add_painting	direction	"zigzag32"
add_painting	title	"string"
add_player	uuid	"uuid"
add_player	username	"string"
add_player	unique_entity_id	"zigzag64"
add_player	runtime_entity_id	"varint64"
add_player	platform_chat_id	"string"
add_player	position	"vec3f"
add_player	velocity	"vec3f"
add_player	pitch	"lf32"
add_player	yaw	"lf32"
add_player	head_yaw	"lf32"
add_player	held_item	"Item"
add_player	gamemode	"GameMode"
add_player	metadata	"MetadataDictionary"
add_player	flags	"varint"
add_player	command_permission	"varint"
add_player	action_permissions	"varint"
add_player	permission_level	"varint"
add_player	custom_stored_permissions	"varint"
add_player	user_id	"li64"
add_player	links	"Links"
add_player	device_id	"string"
add_player	device_os	"DeviceOS"
add_volume_entity	runtime_id	"varint64"
add_volume_entity	nbt	"nbt"
add_volume_entity	encoding_identifier	"string"
add_volume_entity	instance_name	"string"
add_volume_entity	bounds	["container",[{"name":"min","type":"BlockCoordinates"},{"name":"max","type":"BlockCoordinates"}]]
add_volume_entity	dimension	"zigzag32"
add_volume_entity	engine_version	"string"
adventure_settings	flags	"AdventureFlags"
adventure_settings	command_permission	["mapper",{"type":"varint","mappings":{"0":"normal","1":"operator","2":"host","3":"automation","4":"admin"}}]
adventure_settings	action_permissions	"ActionPermissions"
adventure_settings	permission_level	["mapper",{"type":"varint","mappings":{"0":"visitor","1":"member","2":"operator","3":"custom"}}]
adventure_settings	custom_stored_permissions	"varint"
adventure_settings	user_id	"li64"
agent_action	request_id	"string"
agent_action	action_type	["mapper",{"type":"zigzag32","mappings":{"0":"none","1":"attack","2":"collect","3":"destroy","4":"detect_redstone","5":"detect_obstacle","6":"drop","7":"drop_all","8":"inspect","9":"inspect_data","10":"inspect_item_count","11":"inspect_item_detail","12":"inspect_item_space","13":"interact","14":"move","15":"place_block","16":"till","17":"transfer_item_to","18":"turn"}}]
agent_action	body	"string"
animate	action_id	["mapper",{"type":"zigzag32","mappings":{"0":"none","1":"swing_arm","2":"unknown","3":"wake_up","4":"critical_hit","5":"magic_critical_hit","128":"row_right","129":"row_left"}}]
animate	runtime_entity_id	"varint64"
animate		["switch",{"compareTo":"action_id","fields":{"row_right":["container",[{"name":"boat_rowing_time","type":"lf32"}]],"row_left":["container",[{"name":"boat_rowing_time","type":"lf32"}]]}}]
animate_entity	animation	"string"
animate_entity	next_state	"string"
animate_entity	stop_condition	"string"
animate_entity	stop_condition_version	"li32"
animate_entity	controller	"string"
animate_entity	blend_out_time	"lf32"
animate_entity	runtime_entity_ids	["array",{"countType":"varint","type":"varint64"}]
anvil_damage	damage	"u8"
anvil_damage	position	"BlockCoordinates"
available_commands	values_len	"varint"
available_commands	_enum_type	["enum_size_based_on_values_len"]
available_commands	enum_values	["array",{"count":"values_len","type":"string"}]
available_commands	suffixes	["array",{"countType":"varint","type":"string"}]
available_commands	enums	["array",{"countType":"varint","type":["container",[{"name":"name","type":"string"},{"name":"values","type":["array",{"countType":"varint","type":["switch",{"compareTo":"../_enum_type","fields":{"byte":"u8","short":"lu16","int":"lu32"}}]}]}]]}]
available_commands	command_data	["array",{"countType":"varint","type":["container",[{"name":"name","type":"string"},{"name":"description","type":"string"},{"name":"flags","type":"lu16"},{"name":"permission_level","type":"u8"},{"name":"alias","type":"li32"},{"name":"overloads","type":["array",{"countType":"varint","type":["container",[{"name":"parameters","type":["array",{"countType":"varint","type":["container",[{"name":"parameter_name","type":"string"},{"name":"value_type","type":["mapper",{"type":"lu16","mappings":{"1":"int","2":"float","3":"value","4":"wildcard_int","5":"operator","7":"target","9":"wildcard","16":"file_path","38":"string","46":"block_position","47":"position","50":"message","52":"raw_text","56":"json","69":"command"}}]},{"name":"enum_type","type":["mapper",{"type":"lu16","mappings":{"16":"valid","48":"enum","256":"suffixed","1040":"soft_enum"}}]},{"name":"optional","type":"bool"},{"name":"options","type":"CommandFlags"}]]}]}]]}]}]]}]
available_commands	dynamic_enums	["array",{"countType":"varint","type":["container",[{"name":"name","type":"string"},{"name":"values","type":["array",{"countType":"varint","type":"string"}]}]]}]
available_commands	enum_constraints	["array",{"countType":"varint","type":["container",[{"name":"value_index","type":"li32"},{"name":"enum_index","type":"li32"},{"name":"constraints","type":["array",{"countType":"varint","type":["container",[{"name":"constraint","type":["mapper",{"type":"u8","mappings":{"0":"cheats_enabled","1":"operator_permissions","2":"host_permissions"}}]}]]}]}]]}]
available_entity_identifiers	nbt	"nbt"
biome_definition_list	nbt	"nbt"
block_entity_data	position	"BlockCoordinates"
block_entity_data	nbt	"nbt"
block_event	position	"BlockCoordinates"
block_event	type	["mapper",{"type":"zigzag32","mappings":{"0":"sound","1":"change_state"}}]
block_event	data	"zigzag32"
